Transaction Date,Post Date,Description,Type,Amount,Memo,Category
05/01/2026,05/01/2026,ACH ELECTRONIC DEPOSIT CORP PAYROLL XXXXX,ACH,5000.00,Income
05/01/2026,05/02/2026,BH ENERGY UTILITY BILL AUTO-PMT,ACH,-142.18,Utilities
05/02/2026,05/02/2026,NETFLIX.COM DIG RECURRING,Sale,-15.49,Entertainment
05/02/2026,05/03/2026,PONY EXPRESS-O BELLE FOURCHE SD,Sale,-7.25,Food & Dining
05/04/2026,05/04/2026,WM SUPERCENTER #1543 RETAIL,Sale,-184.32,Shopping
05/04/2026,05/05/2026,MDU-NATURAL GAS UTILITY PMT,ACH,-68.50,Utilities
05/05/2026,05/06/2026,CHEVRON/BIG D OIL BELLE FOURCHE,Sale,-45.50,Gas & Fuel
05/05/2026,05/05/2026,VERIZON WIRELESS AUTO-PAY,ACH,-92.10,Utilities
05/06/2026,05/07/2026,8TH AVENUE BAKERY ARTISAN,Sale,-14.25,Food & Dining
05/08/2026,05/08/2026,GEICO AUTO INSURANCE DIRECT PMT,ACH,-112.40,Insurance
05/08/2026,05/09/2026,STARBUCKS COFFEE #48291,Sale,-6.80,Food & Dining
05/09/2026,05/10/2026,RANCHO LOS AGAVES MEXICAN BF,Sale,-52.40,Food & Dining
05/11/2026,05/11/2026,BLACK HILLS PRO RESIDENTIAL MORTGAGE,ACH,-2100.00,Housing
05/12/2026,05/13/2026,AMZN Mktp US*MK87L19A2,Sale,-64.12,Shopping
05/13/2026,05/13/2026,SPOTIFY USA RECURRING SUB,Sale,-11.99,Entertainment
05/14/2026,05/15/2026,THE LEAKY POT COFFEE SHOP,Sale,-8.50,Food & Dining
05/15/2026,05/15/2026,ACH ELECTRONIC DEPOSIT CORP PAYROLL XXXXX,ACH,5000.00,Income
05/15/2026,05/16/2026,WELLMARK BCBS HEALTH INS,ACH,-340.00,Insurance
05/15/2026,05/15/2026,FORD MOTOR CREDIT AUTO LOAN PMT,ACH,-485.00,Auto Loan
05/16/2026,05/17/2026,SAFEWAY #1542 GROCERY STORE,Sale,-165.80,Groceries
05/18/2026,05/19/2026,GRAPS BURGERS AND BREWS,Sale,-38.50,Food & Dining
05/19/2026,05/19/2026,RECREATION.GOV CAMPING RES,Sale,-45.00,Travel & Recreation
05/20/2026,05/21/2026,ADOBE CREATIVE CLOUD MONTHLY,Sale,-57.99,Subscriptions & Software
05/21/2026,05/21/2026,TACO JOHNS #4811 BELLE FOURCHE,Sale,-12.45,Food & Dining
05/22/2026,05/23/2026,RUNNINGS FARM & FLEET RETAIL,Sale,-89.95,Home Improvement
05/22/2026,05/22/2026,CHECK #1042,Check,-450.00,Manual Review Required
05/23/2026,05/24/2026,STADIUM SPORTS GRILL BF,Sale,-44.00,Food & Dining
05/25/2026,05/26/2026,AMZN Mktp US*LN22P91M0,Sale,-32.40,Shopping
05/26/2026,05/26/2026,COWBOY BACK BAR DOWNTOWN,Sale,-28.00,Entertainment
05/27/2026,05/28/2026,CHEVRON/BIG D OIL BELLE FOURCHE,Sale,-48.10,Gas & Fuel
05/28/2026,05/28/2026,POOTERQ ORIGINAL BARBEQUE,Sale,-34.50,Food & Dining
05/29/2026,05/29/2026,ACH ELECTRONIC DEPOSIT CORP PAYROLL XXXXX,ACH,5000.00,Income
05/29/2026,05/30/2026,WM SUPERCENTER #1543 RETAIL,Sale,-212.15,Shopping
05/29/2026,05/30/2026,ANKE'S BAKERY DELI,Sale,-18.50,Food & Dining
05/30/2026,05/31/2026,CROSSROADS TRAVEL PLAZA DINER,Sale,-24.50,Food & Dining
05/30/2026,05/30/2026,SQ *CRAZEE COW INTERN,Sale,-14.50,Unknown
06/01/2026,06/01/2026,ATM CASH WITHDRAWAL HIGHWAY 85,ATM,-100.00,Cash Withdrawal
